Month,No. of Banks live on BHIM,Volume (in Mn),Value (in Cr.)
16-Apr,-,-,-
16-May,-,-,-
16-Jun,-,-,-
16-Jul,-,-,-
16-Aug,-,-,-
16-Sep,-,-,-
16-Oct,-,-,-
16-Nov,-,-,-
16-Dec,31,0.04,1.85
17-Jan,35,1.72,356.5
17-Feb,44,1.97,623.15
17-Mar,44,2.46,823.1
17-Apr,44,3.19,"1,002.15"
17-May,44,3.98,"1,306.73"
17-Jun,49,4.62,"1,486.71"
17-Jul,52,5.43,"1,600.14"
17-Aug,55,6.81,"1,898.63"
17-Sep,55,7.6,"2,245.34"
17-Oct,59,7.63,"2,348.70"
17-Nov,60,8.19,"2,548.81"
17-Dec,65,9.07,"3,083.21"
18-Jan,67,9.57,"3,647.19"
18-Feb,78,9.88,"4,011.16"
18-Mar,82,11.95,"4,839.65"
18-Apr,89,12.6," 4,972.69"
18-May,92,14.16,"5,748.47"
18-Jun,92,16.34,"6,261.25"
18-Jul,99,16.42,"6,692.66"
18-Aug,99,16.5,"6,872.57"
18-Sep,102,16.33,"7,064.86"
18-Oct,106,18.27,"8,206.37"
18-Nov,108,17.35,"7,981.82"
18-Dec,109,17.06,"7,589.19"
19-Jan,109,13.98,"6,202.51"
19-Feb,109,12.83,"5,624.21"
19-Mar,111,14.92,"6,417.02"
19-Apr,113,15.15,"6,583.58"
19-May,112,15.77,"6,627.42"
19-Jun,111,15.49,"6,202.49"
19-Jul,114,16.01,"6,121.67"
19-Aug,117,16.89,"6,132.10"
19-Sep,119,17.18,"5,924.15"
19-Oct,120,16.96,"6,339.61"
19-Nov,125,15.76,"5,853.50"
19-Dec,128,17.82,"6,316.37"
20-Jan,129,18.54,"6,611.22"
20-Feb,130,18.4,"6,524.11"
20-Mar,130,17.05,"6,049.18"
20-Apr,130,13.9,"4,492.73"
20-May,132,16.8,"6,006.69"
20-Jun,132,17.87,"6,610.45"
20-Jul,133,19.77,"7,229.33"
20-Aug,133,20.36,"6,909.59"
20-Sep,146,21.33,"7,215.09"
20-Oct,152,24.44,"7,866.77"
20-Nov,160,23.47,"7,456.95"
20-Dec,165,24.71,"7,734.19"
21-Jan,173,23.28,"7,448.38"
21-Feb,178,20.36,"6,366.88"
21-Mar,180,24.32,"7,638.65"
21-Apr,180,22.16,"6,872.08"
21-May,182,20.92,"6,760.07"
21-Jun,188,22.74,"7,303.76"
21-Jul,194,23.65,"7,426.53"
21-Aug,197,26.21,"8,046.96"
21-Sep,202,25.25,"7,522.56"
21-Oct,203,27.16,"8,497.33"
21-Nov,211,25.13,"8,221.91"
21-Dec,216,27.01,"8,816.10"
22-Jan,225,25.74,"8,500.79"
22-Feb,238,23.18,"7,881.56"
22-Mar,241,24.79,"8,038.24"
22-Apr,245,25.6,"8,342.24"
22-May,247,26.47,"9,545.76"
22-Jun,253,22.5,"7,515.50"
22-Jul,258,24.32,"7,806.30"
22-Aug,262,24.83,"7,843.39"
22-Sep,263,25.02,"8,291.78"
22-Oct,267,25.36,"8,508.14"
22-Nov,269,24.83,8125.93
22-Dec,272,25.31,"8,379.11"
23-Jan,272,24.79,"8,145.17"
23-Feb,273,23.06,"7,140.91"
23-Mar,274,23.53,"7,480.69"
23-Apr,277,23.61,"7,349.81"
23-May,280,22.8,"7,189.16"
23-Jun,282,22.9,"7,258.64"
23-Jul,282,24.66,"8,201.86"
23-Aug,360,24.32,"7,742.34"
23-Sep,365,23.9,"7,968.07"
23-Oct,376,25.47,"8,137.06"
