Month,No. of Banks Live on NETC,Tag Issuance (In Nos.),Volume (In Mn),Amount (In Cr)
16-Nov,3,"1,07,801",NA,NA
16-Dec,4,"2,08,761",3.19,88.12
17-Jan,5,"2,89,033",6.41,178.95
17-Feb,6,"3,42,960",6.55,184.21
17-Mar,6,"4,12,497",7.5,209.39
17-Apr,7,"4,55,705",7.41,210.53
17-May,10,"4,93,231",8.07,225.38
17-Jun,10,"5,22,960",8.21,225.76
17-Jul,10,"5,64,049",8.64,234.18
17-Aug,11,"6,17,623",9.66,257.86
17-Sep,11,"6,85,420",10.14,275.15
17-Oct,11,"7,24,407",9.79,262.62
17-Nov,12,"7,68,923",10.7,285.26
17-Dec,12,"9,15,205",12.29,319.82
18-Jan,14,"11,46,807",12.93,327.76
18-Feb,14,"13,66,224",13.71,345.94
18-Mar,15,"16,33,868",15.49,382.14
18-Apr,17,"18,82,586",15.88,390.07
18-May,19,"21,38,615",17.87,426.62
18-Jun,20,"23,95,938",18.29,428.61
18-Jul,21,"26,38,733",18.47,418.08
18-Aug,21,"28,79,997",20.39,463.88
18-Sep,21,"31,02,686",20.64,470.65
18-Oct,22,"33,49,309",22.28,502.47
18-Nov,22,"35,83,989",21.22,466.83
18-Dec,22,"38,21,564",24.21,534.11
19-Jan,22,"40,88,478",24.52,535.91
19-Feb,22,"43,15,255",23.85,527.44
19-Mar,22,"45,54,913",26.73,595.78
19-Apr,22,"47,72,434",25.98,585.38
19-May,22,"50,01,217",27.52,616.4
19-Jun,22,"52,22,312",26.61,596.18
19-Jul,23,"54,69,196",27.26,608.51
19-Aug,23,"57,17,702",27.78,610.52
19-Sep,23,"59,98,947",29.01,658.94
19-Oct,23,"63,71,309",31.46,702.86
19-Nov,24,"79,01,499",34.92,773.95
19-Dec,24,"1,16,66,372",64.33,1256.84
20-Jan,25,"1,44,23,128",93.02,1622.68
20-Feb,25,"1,60,18,822",110.13,1841.22
20-Mar,26,"1,68,20,979",84.55,1421.01
20-Apr,26,"1,68,41,414",10.26,247.58
20-May,26,"1,70,23,529",55.17,1142.34
20-Jun,26,"1,75,22,199",81.92,1511.93
20-Jul,26,"1,80,87,896",86.62,1623.3
20-Aug,26,"1,86,95,199",96.83,1712.58
20-Sep,27,"1,94,04,168",110.08,1940.6
20-Oct,27,"2,02,06,215",122.36,2137.16
20-Nov,27,"2,10,96,651",124.88,2102.02
20-Dec,28,"2,29,50,023",138.41,2303.79
21-Jan,29,"2,49,45,261",148.56,2397.84
21-Feb,29,"2,84,70,000",158.96,2556.34
21-Mar,31,"3,12,09,935",193.21,3086.32
21-Apr,31,"3,27,16,094",164.32,2776.9
21-May,32,"3,34,48,613",116.48,2125.16
21-Jun,33,"3,47,34,802",157.86,2576.28
21-Jul,34,"3,63,37,603",192.33,2976.39
21-Aug,34,"3,79,69,696",201.2,3076.56
21-Sep,33,"3,94,10,089",193.61,3009.3
21-Oct,35,"4,09,05,674",214.23,3356.74
21-Nov,35,"4,24,41,673",214.13,3177.17
21-Dec,35,"4,42,23,583",242.07,3679.42
22-Jan,35,"4,59,68,411",231.01,3603.71
22-Feb,35,"4,77,74,655",243.64,3631.22
22-Mar,36,"4,95,85,840",270.41,"4,095.30"
22-Apr,36,"5,11,89,695",265.98,"4,218.89"
22-May,36,"5,28,56,885",285.37,"4,369.36"
22-Jun,36,"5,44,54,707",277.94,"4,302.67"
22-Jul,36,"5,59,41,348",265.14,"4,162.45"
22-Aug,36,"5,74,21,576",271.96,"4,245.12"
22-Sep,36,"5,87,84,387",259.15,"4,244.76"
22-Oct,36,"6,03,22,454",282.99,"4,451.87"
22-Nov,36,"6,17,73,702",285.63,"4,645.57"
22-Dec,36,"6,33,05,104",312.76,"4,939.75"
23-Jan,36,"6,47,84,398",300.84,"4,813.54"
23-Feb,37,"6,61,80,419",288.38,"4,683.23"
23-Mar,37,"6,76,79,632",306.29,"5,067.24"
23-Apr,37,"6,91,11,820",305.02,"5,148.59"
23-May,38,"7,06,51,760",335.27,"5,437.06"
23-Jun,39,"7,19,21,652",316.12,"5,195.87"
23-Jul,38,"7,42,69,864",295.02,"4,980.72"
23-Aug,38,"7,54,48,494",308.03,"5,175.69"
23-Sep,38,"7,68,31,483",298.94,5088.71
23-Oct,38,"7,82,26,391",319.69,5539.2
23-Nov,38,"7,92,12,669",320.8,5302.89
