Month,No. of Member Banks,No. of Transactions (in MN),Amount (in Cr)
13-Sep,59,1.02,552.75
13-Oct,59,1.22,731.84
13-Nov,59,1.31,881.6
13-Dec,59,1.84,"1,170.15"
14-Jan,59,2.03,"1,320.28"
14-Feb,59,2.23,"1,455.60"
14-Mar,60,3,"2,050.03"
14-Apr,60,3.11,"2,157.24"
14-May,62,3.3,"2,416.00"
14-Jun,63,3.71,"2,610.06"
14-Jul,65,4.26,"3,018.64"
14-Aug,67,4.8,"3,519.74"
14-Sep,69,5.86,"4,294.64"
14-Oct,71,6.51,"4,898.80"
14-Nov,71,7.09,"5,259.01"
14-Dec,73,8.38,"6,036.55"
15-Jan,74,9.33,"6,972.62"
15-Feb,76,10.08,"7,590.82"
15-Mar,81,12.02,"9,414.70"
15-Apr,84,12.37,"10,089.18"
15-May,92,13.32,"10,675.33"
15-Jun,95,13.82,"10,324.97"
15-Jul,100,15.6,"11,217.20"
15-Aug,104,16.65,"11,906.97"
15-Sep,108,17.72,"12,070.87"
15-Oct,111,19.42,"13,704.96"
15-Nov,117,19.08,"13,767.06"
15-Dec,124,20.52,"15,073.11"
16-Jan,125,22.48,"16,559.22"
16-Feb,132,23.8,"16,967.04"
16-Mar,134,25.98,"19,873.07"
16-Apr,143,26.78,"21,044.30"
16-May,164,27.66,"21,617.76"
16-Jun,169,29.68,"23,716.52"
16-Jul,171,32.18,"25,853.79"
16-Aug,175,33.89,"26,848.86"
16-Sep,180,35.93,"28,911.77"
16-Oct,182,42.11,"34,371.15"
16-Nov,187,36.17,"32,480.53"
16-Dec,190,52.86,"43,200.70"
17-Jan,192,62.43,"49,125.60"
17-Feb,193,59.75,"48,221.29"
17-Mar,236,67.41,"56,468.35"
17-Apr,236,65.08,"56,205.84"
17-May,239,66.72,"58,559.08"
17-Jun,239,65.84,"59,654.53"
17-Jul,239,69.07,"60,476.19"
17-Aug,261,75.66,"65,149.47"
17-Sep,261,82.85,"71,759.59"
17-Oct,296,88.12,"75,041.61"
17-Nov,296,89.49,"78,257.69"
17-Dec,303,98.01,"87,106.19"
18-Jan,323,99.59,"88,213.58"
18-Feb,341,99.25,"88,270.33"
18-Mar,341,110.16,"103,804.02"
18-Apr,364,109.55,"1,02,240.26"
18-May,364,116.62,"1,08,574.96"
18-Jun,364,120.49,"1,13,011.57"
18-Jul,394,127.38,"1,17,166.56"
18-Aug,394,133.58,"1,23,733.51"
18-Sep,394,135.74,"1,25,639.83"
18-Oct,394,154.62,"1,40,306.54"
18-Nov,394,149.94,"1,34,756.74"
18-Dec,394,176.93,"1,46,898.58"
19-Jan,394,171.51,"1,52,296.81"
19-Feb,394,166.37,"1,49,342.60"
19-Mar,498,190.18,"1,76,288.88"
19-Apr,498,185.04,"1,69,197.08"
19-May,498,183.33,"1,80,456.44"
19-Jun,498,171.33,"1,73,019.27"
19-Jul,498,189.28,"1,82,021.01"
19-Aug,498,200.31,"1,89,112.88"
19-Sep,538,204.16,"1,83,746.95"
19-Oct,546,236.93,"2,12,660.44"
19-Nov,556,228.08,"2,02,903.64"
19-Dec,559,256.47,"2,10,934.23"
20-Jan,567,259.53,"2,16,810.70"
20-Feb,570,247.8,"2,14,565.66"
20-Mar,573,216.82,"2,01,961.70"
20-Apr,576,122.47,"1,21,140.79"
20-May,578,166.68,"1,69,401.68"
20-Jun,579,198.91,"2,06,950.80"
20-Jul,585,222.1,"2,25,775.24"
20-Aug,590,246.12,"2,35,136.91"
20-Sep,603,279.61,"2,48,661.66"
20-Oct,611,318.97,"2,74,644.73"
20-Nov,618,339.11,"2,76,458.91"
20-Dec,620,355.69,"2,92,324.15"
21-Jan,623,346.55,"2,88,537.18"
21-Feb,629,318.79,"2,75,229.09"
21-Mar,638,363.14,"3,27,234.43"
21-Apr,639,322.96,"2,99,527.03"
21-May,642,279.81,"2,66,241.36"
21-Jun,647,303.76,"2,84,033.21"
21-Jul,639,349.76,"3,09,054.12"
21-Aug,641,379.71,"3,20,202.97"
21-Sep,644,384.88,"3,24,094.24"
21-Oct,649,430.67,"3,70,712.43"
21-Nov,637,412.05,"3,64,679.71"
21-Dec,643,442.98,"3,96,411.41"
22-Jan,645,440.17,"3,87,006.73"
22-Feb,644,420.93,"3,84,404.01"
22-Mar,644,492,"4,62,278.80"
22-Apr,647,471.62,"4,44,669.88"
22-May,647,484.81,"4,52,328.10"
22-Jun,647,455.7,"4,43,776.03"
22-Jul,647,460.83,"4,44,540.95"
22-Aug,652,466.91,"4,45,988.96"
22-Sep,666,462.69,"4,55,056.84"
22-Oct,674,482.46,"4,66,081.76"
22-Nov,677,463.48,"4,54,678.64"
22-Dec,684,485.84,"4,86,552.12"
23-Jan,694,474.51,"4,77,592.02"
23-Feb,706,447.82,"4,68,647.10"
23-Mar,713,497.06,"5,46,235.62"
23-Apr,717,495.8,"5,21,050.26"
23-May,749,499.98,"5,25,810.13"
23-Jun,777,468.1,"5,00,481.23"
23-Jul,788,489.71,"5,12,311.87"
23-Aug,797,489.16,"5,14,279.53"
23-Sep,807,472.9,"5,07,497.22"
23-Oct,816,492.88,"5,38,238.49"
