Month,No. of Banks live on *99#,Volume (Mn),Value (in Cr)
16-Apr,-,-,-
16-May,-,-,-
16-Jun,-,-,-
16-Jul,-,-,-
16-Aug,-,-,-
16-Sep,-,-,-
16-Oct,-,-,-
16-Nov,-,-,-
16-Dec,-,0.03,1.76
17-Jan,-,0.31,37.42
17-Feb,-,0.22,35.64
17-Mar,-,0.21,33.76
17-Apr,-,0.19,30.47
17-May,-,0.19,31.63
17-Jun,-,0.2,31.3
17-Jul,-,0.19,30.19
17-Aug,-,0.19,29.43
17-Sep,-,0.2,32.36
17-Oct,-,0.18,29.91
17-Nov,-,0.18,28.73
17-Dec,-,0.18,29.94
18-Jan,-,0.17,29
18-Feb,70,0.16,27.03
18-Mar,71,0.17,28.44
18-Apr,73,0.14,25.95
18-May,74,0.14,24.45
18-Jun,75,0.14,24.29
18-Jul,78,0.14,24.31
18-Aug,78,0.13,23.31
18-Sep,78,0.13,22.75
19-Oct,79,0.12,22.59
18-Nov,80,0.11,19.67
18-Dec,80,0.12,20.61
19-Jan,80,0.12,21.03
19-Feb,80,0.11,18.91
19-Mar,80,0.11,19.59
19-Apr,82,0.1,18.63
19-May,82,0.1,18.29
19-Jun,82,0.1,17.09
19-Jul,82,0.09,15.77
19-Aug,83,0.08,14.83
19-Sep,83,0.08,13.76
19-Oct,83,0.09,15.95
19-Nov,83,0.07,12.95
19-Dec,86,0.08,13.6
20-Jan,86,0.08,13.64
20-Feb,86,0.07,12.49
20-Mar,86,0.07,11.65
20-Apr,86,0.07,11.45
20-May,86,0.07,13.55
20-Jun,86,0.08,14.56
20-Jul,86,0.09,15.29
20-Aug,87,0.09,15.09
20-Sep,86,0.09,14.27
20-Oct,86,0.1,16
20-Nov,86,0.09,15.25
20-Dec,83,0.09,14.1
21-Jan,83,0.09,14.56
21-Feb,83,0.08,13.03
21-Mar,83,0.09,14.56
21-Apr,83,0.1,14.71
21-May,83,0.1,16.14
21-Jun,83,0.1,16.01
21-Jul,83,0.11,16.33
21-Aug,83,0.11,16.98
21-Sep,83,0.11,16.02
21-Oct,83,0.11,16.49
21-Nov,83,0.1,15.31
21-Dec,83,0.11,15.57
22-Jan,83,0.08,11.11
22-Feb,83,0.07,10.3
22-Mar,83,0.07,12
22-Apr,83,0.09,12.1
22-May,83,0.1,13.91
22-Jun,83,0.1,12.48
22-Jul,83,0.16,17.65
22-Aug,83,0.16,17.09
22-Sep,83,0.15,16.87
22-Oct,83,0.12,15.01
22-Nov,83,0.18,18.9
22-Dec,83,0.19,20.92
23-Jan,83,0.17,19.48
23-Feb,83,0.15,17.45
23-Mar,83,0.15,17.55
23-Apr,83,0.16,18.79
23-May,83,0.17,20.7
23-Jun,83,0.22,30.38
23-Jul,83,0.28,43.07
23-Aug,83,0.26,40.86
23-Sep,106,0.28,43.07
23-Oct,106,0.26,37.66
