Sr. No.,Payer PSP,Total Volume (In Mn),Approved %,BD %,TD %
1,Yes Bank Ltd,3691.75,98.95%,1.04%,0.00%
2,Axis Bank Ltd,2269.64,98.96%,1.03%,0.00%
3,ICICI Bank,2151.88,99.02%,0.98%,0.00%
4,Paytm Payments Bank,1439.34,98.79%,1.21%,0.00%
5,HDFC Bank Ltd,1029.19,99.05%,0.95%,0.00%
6,State Bank Of India,815.9,98.45%,1.55%,0.00%
7,Fampay (PPI),27.98,98.46%,1.54%,0.00%
8,BHIM,27,95.32%,4.67%,0.01%
9,Kotak Mahindra Bank,24.19,98.52%,1.47%,0.00%
10,Airtel Payments Bank,11.53,98.13%,1.81%,0.05%
11,Standard Chartered,7.03,99.87%,0.13%,0.00%
12,Federal Bank,6,98.13%,1.87%,0.00%
13,India Post Payment Bank,5.62,98.67%,1.31%,0.02%
14,IDFC FIRST Bank,5.55,98.14%,1.86%,0.01%
15,RBL Bank,3.7,98.53%,1.46%,0.01%
UPI Payee PSP Performance (Oct'23),,,,,
Sr. No.,Payee PSP,Total Volume (In Mn),Approved %,BD %,TD %
1,Yes Bank Ltd,3874.42,99.74%,0.25%,0.01%
2,Paytm Payments Bank,2868.53,99.60%,0.39%,0.01%
3,ICICI Bank,1324.05,99.36%,0.61%,0.04%
4,Axis Bank Ltd,1274.76,99.56%,0.40%,0.04%
5,HDFC Bank Ltd,644.52,99.37%,0.62%,0.01%
6,State Bank Of India,498.49,99.21%,0.69%,0.10%
7,Federal Bank,208.16,95.46%,4.54%,0.00%
8,IndusInd Bank,69.7,98.31%,0.88%,0.81%
9,Kotak Mahindra Bank,40.33,99.36%,0.51%,0.13%
10,IDFC FIRST Bank,26.91,99.26%,0.46%,0.28%
11,RBL Bank,22.18,96.42%,2.94%,0.64%
12,Indian Bank,21.13,99.45%,0.51%,0.04%
13,Canara Bank,19.83,96.88%,3.07%,0.05%
14,Airtel Payments Bank,19.09,99.49%,0.13%,0.38%
15,Cosmos Bank,16.44,98.00%,1.73%,0.27%
