Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.)
16-Apr,21,0,0
16-May,21,0,0
16-Jun,21,0,0
16-Jul,21,0.09,0.38
16-Aug,21,0.09,3.09
16-Sep,25,0.09,32.64
16-Oct,26,0.1,48.57
16-Nov,30,0.29,100.46
16-Dec,35,1.99,707.93
17-Jan,36,4.46,"1,696.22"
17-Feb,44,4.38,"1,937.71"
17-Mar,44,6.37,"2,425.14"
17-Apr,48,7.2,"2,271.24"
17-May,49,9.36,"2,797.07"
17-Jun,52,10.35 ,"3,098.36"
17-Jul,53,11.63,"3,411.35"
17-Aug,55,16.8,"4,156.62"
17-Sep,57,30.98,"5,325.81"
17-Oct,60,76.96,7057.78
17-Nov,61,105.02,"9,669.33"
17-Dec,67,145.64,"13,174.24"
18-Jan,71,151.83,"15,571.20"
18-Feb,86,171.4,"19,126.20"
18-Mar,91,178.05,"24,172.60"
18-Apr,97,190.08,"27,021.85"
18-May,101,189.48,"33,288.51"
18-Jun,110,246.37,"40,834.03"
18-Jul,114,273.75,"51,843.14"
18-Aug,114,312.02,"54,212.26"
18-Sep,122,405.87,"59,835.36"
18-Oct,128,482.36,"74,978.27"
18-Nov,128,524.94,"82,232.21"
18-Dec,129,620.17,"102,594.82"
19-Jan,134,672.75,"109,932.43"
19-Feb,139,674.19,"106,737.12"
19-Mar,142,799.54,"133,460.72"
19-Apr,144,781.79,"142,034.39"
19-May,143,733.54,"152,449.29"
19-Jun,142,754.54,"146,566.35"
19-Jul,143,822.29,"146,386.64"
19-Aug,141,918.35,"154,504.89"
19-Sep,141,955.02,"161,456.56"
19-Oct,141,"1,148.36","191,359.94"
19-Nov,143,"1,218.77","189,229.09"
19-Dec,143,"1,308.40","202,520.76"
20-Jan,144,"1,305.02","216,242.97"
20-Feb,146,"1,325.69","222,516.95"
20-Mar,148,"1,246.84","206,462.31"
20-Apr,153,999.57,"151,140.66"
20-May,155,"1,234.50","218,391.60"
20-Jun,155,1336.93,"2,61,835.00"
20-Jul,164,1497.36,"2,90,537.86"
20-Aug,168,1618.83,"2,98,307.61"
20-Sep,174,"1,800.14","3,29,027.66"
20-Oct,189,"2,071.62","3,86,106.74"
20-Nov,200,"2,210.23","3,90,999.15"
20-Dec,207,"2,234.16","4,16,176.21"
21-Jan,207,2302.73,"4,31,181.89"
21-Feb,213,"2,292.90","4,25,062.76"
21-Mar,216,"2,731.68","5,04,886.44"
21-Apr,220,"2,641.06","4,93,663.68"
21-May,224,"2,539.57","4,90,638.65"
21-Jun,229,"2,807.51","5,47,373.17"
21-Jul,235,"3,247.82","6,06,281.14"
21-Aug,249,"3,555.55","6,39,116.95"
21-Sep,259,"3,654.30","6,54,351.81"
21-Oct,261,"4,218.65","7,71,444.98"
21-Nov,274,"4,186.48","7,68,436.11"
21-Dec,282,"4,566.30","8,26,848.22"
22-Jan,297,"4,617.15","8,31,993.11"
22-Feb,304,"4,527.49","8,26,843.00"
22-Mar,314,"5,405.65","9,60,581.66"
22-Apr,316,"5,583.05","9,83,302.27"
22-May,323,"5,955.20","10,41,520"
22-Jun,330,"5,862.75","10,14,384"
22-Jul,338,"6,288.40","10,62,991"
22-Aug,346,"6,579.63","10,72,792.68"
22-Sep,358,"6,780.80","11,16,438.10"
22-Oct,365,"7,305.42","12,11,582.51"
22-Nov,376,"7,309.45","11,90,593.39"
22-Dec,382,"7,829.49","12,82,055.01"
23-Jan,385,"8,036.89","12,98,726.62"
23-Feb,390,"7,534.76","12,35,846.62"
23-Mar,399,"8,685.30","14,10,443.01"
23-Apr,414,"8,898.14","14,07,007.55"
23-May,445,"9,415.19","14,89,145.44"
23-Jun,458,"9,335.06","14,75,464.27"
23-Jul,473,"9,964.61","15,33,645.20"
23-Aug,484,"10,586.02","15,76,536.56"
Sep'23,492,"10,555.69","15,79,133.18"
Oct'23,505,"11,408.79","17,15,768.34"
Nov'23,516,"11,235.29","17,39,740.60"
