Sr. No.,Remitter Bank,Total Volume,Approved%,BD%,TD%
1,State Bank Of India,"6,77,064",93.93%,0.76%,5.31%
2,HDFC BANK LTD,"3,89,570",95.70%,0.52%,3.77%
3,Bank of Baroda,"2,65,043",94.20%,0.64%,5.15%
4,ICICI Bank,"2,40,238",97.31%,0.45%,2.24%
5,Axis Bank Ltd.,"1,67,008",95.95%,0.66%,3.38%
6,Punjab National Bank,"1,22,635",93.27%,1.09%,5.64%
7,Bank of India,"1,07,872",95.84%,0.68%,3.48%
8,Kotak Mahindra Bank,"1,06,794",95.62%,0.80%,3.58%
9,Union Bank of India,"1,02,938",93.58%,0.90%,5.52%
10,Central Bank Of India,"63,226",45.85%,0.68%,53.47%
11,Canara Bank,"56,774",93.59%,0.94%,5.46%
12,IDBI Bank Limited,"42,170",95.14%,0.67%,4.19%
13,Indian Bank,"27,355",92.65%,1.23%,6.12%
14,IDFC FIRST Bank,"24,046",94.12%,0.55%,5.33%
15,INDUSIND BANK,"23,342",94.27%,0.89%,4.84%
16,Yes Bank Ltd,"23,261",92.40%,0.71%,6.89%
17,UCO Bank,"20,997",91.86%,0.89%,7.25%
18,The Mehsana Urban Co-Operative Bank Ltd.,"17,580",95.26%,0.18%,4.56%
19,Bank of Maharashtra,"13,500",90.60%,0.87%,8.53%
20,AU Small Finance bank,"13,470",93.05%,2.31%,4.64%
21,Indian Overseas Bank,"12,681",91.15%,1.11%,7.74%
22,Rajkot Nagrik Sahakari Bank Ltd.,"12,336",96.03%,0.24%,3.73%
23,Federal Bank,"10,485",91.80%,1.64%,6.56%
24,Bandhan Bank,"8,824",58.08%,0.88%,41.04%
25,Citibank,"7,314",96.39%,0.44%,3.17%
26,Karnataka Bank,"6,013",91.10%,0.75%,8.15%
27,Saraswat Bank,"5,921",93.82%,0.47%,5.71%
28,Standard Chartered,"5,489",95.81%,0.89%,3.30%
29,Kalupur Commercial Cooperative Bank,"5,277",95.72%,0.66%,3.62%
30,Equitas Bank,"3,832",95.77%,0.60%,3.63%
31,DBS BANK LTD,"3,329",96.76%,0.87%,2.37%
32,Punjab and Sind Bank,"3,315",89.68%,1.21%,9.11%
33,Karur Vysya Bank,"3,244",75.68%,0.80%,23.52%
34,South Indian Bank,"3,223",93.61%,0.56%,5.83%
35,RBL,"2,996",89.12%,0.60%,10.28%
36,Tamilnad Mercantile Bank,"2,762",91.78%,0.76%,7.46%
37,Surat People Cooperative Bank,"2,513",54.44%,0.60%,44.97%
38,DCB Bank Ltd,"2,348",90.20%,0.85%,8.94%
39,HSBC,"1,970",79.34%,0.61%,20.05%
40,City Union Bank,"1,829",93.82%,0.66%,5.52%
41,Jammu and Kashmir Bank,"1,612",0.00%,2.23%,97.77%
42,Svc co-operative bank ltd,"1,447",95.72%,0.41%,3.87%
43,THE AHMEDABAD MERCANTILE CO OP BANK LTD,"1,364",90.62%,0.66%,8.72%
44,TJSB,995,93.97%,0.10%,5.93%
45,Utkarsh Small Finance Bank,594,89.73%,0.34%,9.93%
46,Janata Sahakari Bank Ltd. Pune,376,94.15%,0.00%,5.85%
47,Dhanlaxmi Bank Ltd,350,88.29%,0.29%,11.43%
48,Catholic Syrian Bank,260,79.23%,0.38%,20.38%
49,GP PARSIK BANK,250,96.00%,0.80%,3.20%
50,Deutsche Bank,75,82.67%,0.00%,17.33%
